name	id	gender	language	variations	meaning
Mayalen	/m/05d5p8w	Female	Hebrew Language	/m/05d5s61,/m/05d5sgr,/m/05d5s1r,/m/05d5q1g,/m/05d5qw_,/m/05d5q7w,/m/05d5qq9,/m/05d5qzf,/m/05d5s51,/m/05d5t2v,/m/05d5qr3,/m/05d5r9y,/m/05d5s8p,/m/05d5q36,/m/05d5s56,/m/05d5r72,/m/05d5sgx,/m/05d5s7c,/m/05d5rl4,/m/05d5r33,/m/05d5qkl,/m/05d5sms,/m/05d5r4h,/m/05d5ppk,/m/05d5skj,/m/05d5sgl,/m/05d5rrn,/m/05d5pz9,/m/05d5rq3,/m/05d5rgg,/m/05d5p8s,/m/05d5sc6,/m/05d5sh1,/m/05d5rv9	
Ryozo	/m/05d8j54	Male	Japanese Language		
Malori	/m/05d5rsc	Female	Old High German	/m/05d5vd8,/m/05d5vct,/m/05d5vcn,/m/05d5vd3,/m/05d5rs8,/m/05d5vcz,/m/05d5vch	
Maidy	/m/05d5stl	Female	Old English language	/m/05d5sv3,/m/05d5std,/m/05d5st9,/m/05d5sth,/m/05d5st6	
Meggie	/m/05d5wyq	Female	Persian Language,Latin Language,Greek Language,Gaelic,Welsh Language	/m/05d5_q4,/m/05d60s5,/m/05d6pj6,/m/05d60qy,/m/05d60sb,/m/05d5xg9,/m/05d60qs,/m/05d60rk,/m/05d60rw,/m/05d5zbn,/m/05d60gq,/m/05d5_s3,/m/05d6pgl,/m/05d5z75,/m/05d60s0,/m/05d60gw,/m/05d6phd,/m/05d6ph0,/m/05d60qg,/m/05d60r2,/m/05d5y0k,/m/05d5zpw,/m/05d5zd4,/m/05d60q9,/m/05d5wym,/m/05d5yxm,/m/05d5_7j,/m/05d6pgt,/m/05d6qsb,/m/05d5_rg,/m/05d5y8j,/m/05d60lh,/m/05d60sh,/m/05d6108,/m/05d5_dg,/m/05d5_p_,/m/05d5_q9,/m/05d5xct,/m/05d6055,/m/05d60rd,/m/05d60qm,/m/05d60gd,/m/05d5zkv,/m/05d60q4,/m/05d5_t6,/m/05d5_pv,/m/05d60rq,/m/05d5xv0,/m/05d5yw4,/m/05d60v7,/m/05d6ph7,/m/05d60r7,/m/05d5_2m,/m/05d60gk,/m/05d5_lr,/m/05d5z15	
Sabirah	/m/05d8hs4	Female	Arabic Language		
Roseline	/m/05d89z0	Female	Spanish Language	/m/05d8d40,/m/05d8dzc,/m/05d8d30,/m/05d8dz1,/m/05d8b_7,/m/05d8d27,/m/05d8dzj,/m/05d89yy,/m/05d8dz6	
Marjorey	/m/05d63xx	Female	Old French	/m/05d63xf,/m/05d63xn,/m/05d63xr,/m/05d63x1,/m/05d63zy,/m/05d63x5,/m/05d63wp,/m/05d63x9,/m/05d63wt,/m/05d63wy,/m/05d63xj	
Mariano	/m/05d6483	Male,Female	Hebrew Language	/m/05d64kx,/m/05d64l1	
Mariposa	/m/05d64kl	Female	Spanish Language		
Merwin	/m/05d674q	Male	Old English language	/m/05d679h,/m/05d679n,/m/05d67bh,/m/05d67cb,/m/05d67db,/m/05d66l6,/m/05d679c,/m/05d674m	
Robina	/m/05d87dh	Female	Old English language	/m/05d87dd,/m/05d88bc,/m/05d88lh,/m/05d88n2,/m/05d88b1,/m/05d889r,/m/05d87pr,/m/05d87_c,/m/05d88b6,/m/05d889l,/m/05d889x,/m/05d88k7,/m/05d88c6	
